Categoria,ID
Accion,27555
Arcade,53792
Audio y Musica,154906
Automoviles y vehiculos,18280
Aventura,23203
Belleza,11772
Board,10588
Card,8179
Carreras,10362
Casa y Hogar,14369
Casino,5076
Casual,50813
Citas,6524
Clima,7246
Comics,2862
Comida y Bebidas,73927
Comunicacion,48167
Deportes,47483
Diseño y Arte,18539
Editores de Video,14015
Educacion,241090
Educacionales,21308
Entretenimiento,138276
Estilo de vida,118331
Estrategia,8526
Eventos,12841
Finanzas,65466
Fotografia,35552
Herramientas,143988
Juegos de Rol,10034
Librerias y Demo,5198
Libros y Referencias,116728
Mapas y navegacion,26722
Medico,32065
Musica,4202
Negocios,143771
Noticias  y  Revistas,42807
Paternidad,3810
Personalization,89210
Productividad,79698
Puzzle,51168
Salud y Fisico,83510
Shopping,75256
Simulation,23282
Social,44734
Trivia,11795
Viaje y Local,67288
Word,8630
