Año de lanzamiento,Categoria,ID
2010,Accion,14
2010,Arcade,81
2010,Audio y Musica,144
2010,Automoviles y vehiculos,19
2010,Aventura,3
2010,Belleza,1
2010,Board,30
2010,Card,63
2010,Carreras,10
2010,Casa y Hogar,17
2010,Casino,6
2010,Casual,84
2010,Citas,7
2010,Clima,95
2010,Comics,6
2010,Comida y Bebidas,20
2010,Comunicacion,156
2010,Deportes,229
2010,Diseño y Arte,2
2010,Editores de Video,75
2010,Educacion,154
2010,Educacionales,19
2010,Entretenimiento,173
2010,Estilo de vida,216
2010,Estrategia,6
2010,Eventos,2
2010,Finanzas,240
2010,Fotografia,33
2010,Herramientas,575
2010,Juegos de Rol,21
2010,Librerias y Demo,42
2010,Libros y Referencias,408
2010,Mapas y navegacion,85
2010,Medico,58
2010,Negocios,83
2010,Noticias  y  Revistas,290
2010,Paternidad,5
2010,Personalization,145
2010,Productividad,288
2010,Puzzle,132
2010,Salud y Fisico,139
2010,Shopping,113
2010,Simulation,10
2010,Social,71
2010,Trivia,4
2010,Viaje y Local,251
2010,Word,16
2011,Accion,49
2011,Arcade,279
2011,Audio y Musica,636
2011,Automoviles y vehiculos,34
2011,Aventura,26
2011,Belleza,3
2011,Board,108
2011,Card,181
2011,Carreras,35
2011,Casa y Hogar,37
2011,Casino,37
2011,Casual,281
2011,Citas,7
2011,Clima,184
2011,Comics,27
2011,Comida y Bebidas,56
2011,Comunicacion,432
2011,Deportes,605
2011,Diseño y Arte,3
2011,Editores de Video,160
2011,Educacion,908
2011,Educacionales,58
2011,Entretenimiento,611
2011,Estilo de vida,712
2011,Estrategia,46
2011,Eventos,10
2011,Finanzas,831
2011,Fotografia,158
2011,Herramientas,1506
2011,Juegos de Rol,54
2011,Librerias y Demo,54
2011,Libros y Referencias,950
2011,Mapas y navegacion,314
2011,Medico,266
2011,Musica,2
2011,Negocios,615
2011,Noticias  y  Revistas,820
2011,Paternidad,26
2011,Personalization,608
2011,Productividad,724
2011,Puzzle,486
2011,Salud y Fisico,353
2011,Shopping,200
2011,Simulation,36
2011,Social,151
2011,Trivia,26
2011,Viaje y Local,621
2011,Word,36
2012,Accion,85
2012,Arcade,460
2012,Audio y Musica,957
2012,Automoviles y vehiculos,70
2012,Aventura,50
2012,Belleza,7
2012,Board,135
2012,Card,289
2012,Carreras,65
2012,Casa y Hogar,41
2012,Casino,66
2012,Casual,559
2012,Citas,10
2012,Clima,273
2012,Comics,42
2012,Comida y Bebidas,105
2012,Comunicacion,455
2012,Deportes,934
2012,Diseño y Arte,13
2012,Editores de Video,229
2012,Educacion,2305
2012,Educacionales,151
2012,Entretenimiento,1049
2012,Estilo de vida,1325
2012,Estrategia,95
2012,Eventos,12
2012,Finanzas,1348
2012,Fotografia,230
2012,Herramientas,2465
2012,Juegos de Rol,85
2012,Librerias y Demo,78
2012,Libros y Referencias,1816
2012,Mapas y navegacion,560
2012,Medico,524
2012,Musica,33
2012,Negocios,1244
2012,Noticias  y  Revistas,1500
2012,Paternidad,30
2012,Personalization,1306
2012,Productividad,1171
2012,Puzzle,883
2012,Salud y Fisico,598
2012,Shopping,394
2012,Simulation,65
2012,Social,282
2012,Trivia,54
2012,Viaje y Local,1208
2012,Word,91
2013,Accion,231
2013,Arcade,720
2013,Audio y Musica,2094
2013,Automoviles y vehiculos,84
2013,Aventura,122
2013,Belleza,12
2013,Board,211
2013,Card,363
2013,Carreras,242
2013,Casa y Hogar,49
2013,Casino,149
2013,Casual,990
2013,Citas,26
2013,Clima,300
2013,Comics,72
2013,Comida y Bebidas,306
