Categoria,Rating,Promedio descargas
Accion,0.0,1186.0
Accion,1.0,225.0
Accion,1.1,12724.0
Accion,1.2,2387.0
Accion,1.3,1526.0
Accion,1.4,15288.0
Accion,1.5,43652.0
Accion,1.6,42866.0
Accion,1.7,187866.0
Accion,1.8,118444.0
Accion,1.9,61555.0
Accion,2.0,6213.0
Accion,2.1,28081.0
Accion,2.2,199470.0
Accion,2.3,34883.0
Accion,2.4,92925.0
Accion,2.5,63203.0
Accion,2.6,75482.0
Accion,2.7,208906.0
Accion,2.8,110225.0
Accion,2.9,158141.0
Accion,3.0,135276.0
Accion,3.1,188244.0
Accion,3.2,303936.0
Accion,3.3,347591.0
Accion,3.4,329455.0
Accion,3.5,997232.0
Accion,3.6,369187.0
Accion,3.7,605881.0
Accion,3.8,791314.0
Accion,3.9,1428595.0
Accion,4.0,1945870.0
Accion,4.1,3873867.0
Accion,4.2,3865615.0
Accion,4.3,4521208.0
Accion,4.4,4246084.0
Accion,4.5,2821401.0
Accion,4.6,1308178.0
Accion,4.7,479702.0
Accion,4.8,16842.0
Accion,4.9,18601.0
Accion,5.0,835.0
Arcade,0.0,534.0
Arcade,1.0,1014.0
Arcade,1.1,726.0
Arcade,1.2,3048.0
Arcade,1.3,305929.0
Arcade,1.4,4117.0
Arcade,1.5,6279.0
Arcade,1.6,42320.0
Arcade,1.7,35559.0
Arcade,1.8,50996.0
Arcade,1.9,76686.0
Arcade,2.0,14984.0
Arcade,2.1,82424.0
Arcade,2.2,27220.0
Arcade,2.3,73875.0
Arcade,2.4,47330.0
Arcade,2.5,86722.0
Arcade,2.6,94571.0
Arcade,2.7,198827.0
Arcade,2.8,115213.0
Arcade,2.9,135624.0
Arcade,3.0,106261.0
Arcade,3.1,216191.0
Arcade,3.2,143921.0
Arcade,3.3,319055.0
Arcade,3.4,217714.0
Arcade,3.5,201958.0
Arcade,3.6,333716.0
Arcade,3.7,327017.0
Arcade,3.8,719892.0
Arcade,3.9,1078019.0
Arcade,4.0,1637701.0
Arcade,4.1,2562450.0
Arcade,4.2,1622891.0
Arcade,4.3,1896020.0
Arcade,4.4,2083027.0
Arcade,4.5,1498874.0
Arcade,4.6,1760666.0
Arcade,4.7,75873.0
Arcade,4.8,14822.0
Arcade,4.9,1807.0
Arcade,5.0,478.0
Audio y Musica,0.0,793.0
Audio y Musica,1.0,6874.0
Audio y Musica,1.1,1223.0
Audio y Musica,1.2,16764.0
Audio y Musica,1.3,3953.0
Audio y Musica,1.4,1755100.0
Audio y Musica,1.5,30412.0
Audio y Musica,1.6,12754.0
Audio y Musica,1.7,15124.0
Audio y Musica,1.8,6799.0
Audio y Musica,1.9,87178.0
Audio y Musica,2.0,22569.0
Audio y Musica,2.1,117104.0
Audio y Musica,2.2,50307.0
Audio y Musica,2.3,230588.0
Audio y Musica,2.4,113348.0
Audio y Musica,2.5,58695.0
Audio y Musica,2.6,67306.0
Audio y Musica,2.7,69398.0
Audio y Musica,2.8,56936.0
Audio y Musica,2.9,104823.0
Audio y Musica,3.0,91301.0
